"code_insee_com","nom_com","RR_med","NBJRR5_med","NBJRR1_med","NBJRR10_med","Tmin_med","Tmax_med","Tens_vap_med","Force_vent_med","Insolation_med","Rayonnement_med","niveau_vie_median_2021"
11001,"Aigues-Vives",30.5,2,4,1,9.6,17.5,11.2,4.5,3965,14346.5,19590
11002,"Airoux",33.35,3,5.5,1,12.8,24,11.4,4.6,3605,15422,22660
11003,"Ajac",48.2,3,7,1,8.2,19.4,11.75,3.6,3579,14012,20540
11004,"Alaigne",48.2,3,7,1,9,17.4,11.75,3.6,3579,14012,18170
11005,"Alairac",29,1,4,1,9.2,17.9,11.4,4.7,3476,13610,22790
11007,"Albières",61.2,4,8,2,7.6,19.55,10.5,2.9,3389,14179,15540
11008,"Alet-les-Bains",50.35,3,7,1,8.2,19.4,10.6,3.3,3579,14012,19430
11009,"Alzonne",50.45,3,8,1,9.7,18.7,11.4,4.7,3476,13610,19640
11010,"Antugnac",50.35,3,7,1,8,18.4,10.6,3.3,3579,14012,20310
11011,"Aragon",53,3,7,2,9.7,18.7,11.4,4.7,3476,13610,22650
11012,"Argeliers",32.15,2,5,1,10.2,20.5,11,3.9,3965,14346.5,20980
11013,"Argens-Minervois",41.5,3,6,1,9.65,19.5,12.7,5.6,3965,14346.5,21000
11015,"Arques",61.2,4,8,2,7.6,19.55,10.5,2.9,3389,14179,14800
11018,"Arzens",50.45,3,8,1,9.2,17.9,11.4,4.7,3476,13610,22370
11022,"Azille",36.4,2,6,1,10.4,19.5,12.7,5.6,3965,14346.5,19630
11023,"Badens",45.8,3,7,1,9.6,17.5,11.2,4.5,3476,13610,21020
11024,"Bages",30.75,2,4,1,10.7,19.1,12.1,5.3,3965,14346.5,21520
11025,"Bagnoles",46.8,3,7,1,9.6,17.5,11.2,4.5,3476,13610,21220
11026,"Baraigne",33.35,3,5.5,1,12.8,24,11.4,4.6,3605,15422,22360
11027,"Barbaira",39.55,2.5,6,1,9.7,18.5,11.7,4.9,3965,14346.5,19650
11028,"Belcaire",69.65,5,9,2,4.5,14,8.5,2.7,3163,12945,19360
11030,"Belflou",33.35,3,5.5,1,12.8,24,11.7,3,3556,13450,28730
11032,"Bellegarde-du-Razès",48.2,3,7,1,9,17.4,11.75,3.6,3579,14012,19290
11033,"Belpech",49.3,2,2,2,7.85,18.1,11.9,3.3,3371,12963,20740
11034,"Belvèze-du-Razès",40,3,6,1,9,17.4,11.75,3.6,3579,14012,19240
11036,"Belvis",88.9,6,9,3,4.5,14,8.5,2.7,3579,14012,17430
11037,"Berriac",45.8,3,7,1,9.2,17.9,11.4,4.7,3476,13610,17910
11040,"Bizanet",37.5,2,5,1,10.7,19.1,12.1,5.3,3965,14346.5,21900
11041,"Bize-Minervois",38.2,2,5,1,10.2,20.5,11,3.9,3965,14346.5,20550
11042,"Blomac",30.5,2,4,1,9.9,19.4,11.7,4.9,3965,14346.5,20100
11043,"Bouilhonnac",45.8,3,7,1,9.6,17.5,11.2,4.5,3476,13610,24790
11044,"Bouisse",68,5,9,2,6.9,15.95,10.5,2.9,3389,14179,16980
11045,"Bouriège",50.35,3,7,1,8.2,19.4,10.7,4.3,3579,14012,19150
11048,"Boutenac",37.5,2,5,1,10.3,19.6,11.8,5.6,3965,14346.5,21660
11049,"Bram",49.75,3,8,1,9.6,18.8,11.75,3.6,3579,14012,20940
11051,"Brézilhac",44.3,3,7,1,9.6,18.8,11.75,3.6,3579,14012,19800
11052,"Brousses-et-Villaret",60.8,4,8,2,9.7,18.7,10.05,4.4,3476,13610,19310
