"jour","mois","annee","typologie","influence","nom_poll","valeur_poll"
9,2,2024,"Périurbaine","Fond","O3",55.1
2,2,2024,"Périurbaine","Fond","O3",59.8
9,2,2024,"Périurbaine","Fond","O3",60.4
3,10,2023,"Périurbaine","Industrielle","PM10",22.1
4,10,2023,"Périurbaine","Industrielle","PM10",11.3
10,7,2024,"Périurbaine","Trafic","PM10",10.1
11,7,2024,"Périurbaine","Trafic","PM10",15.5
9,7,2024,"Périurbaine","Trafic","PM10",13.2
9,2,2024,"Périurbaine","Fond","O3",38.7
9,2,2024,"Périurbaine","Fond","O3",48.6
9,7,2024,"Périurbaine","Trafic","NOX",8.4
9,2,2024,"Périurbaine","Industrielle","PM2.5",17.8
9,7,2024,"Périurbaine","Trafic","NOX",13
26,10,2023,"Périurbaine","Fond","O3",48.5
2,11,2024,"Périurbaine","Fond","O3",45.7
2,11,2024,"Périurbaine","Fond","O3",30.3
9,2,2024,"Périurbaine","Trafic","NO",4.4
9,2,2024,"Périurbaine","Industrielle","NO",1.9
22,9,2022,"Périurbaine","Trafic","NOX",34.4
3,10,2023,"Périurbaine","Fond","O3",69
4,10,2023,"Périurbaine","Fond","O3",69.7
23,9,2022,"Périurbaine","Trafic","NOX",20.1
24,9,2022,"Périurbaine","Trafic","NOX",9.9
25,9,2022,"Périurbaine","Trafic","NOX",13.2
26,9,2022,"Périurbaine","Trafic","NOX",17.7
27,9,2022,"Périurbaine","Trafic","NOX",8.9
28,9,2022,"Périurbaine","Trafic","NOX",10.7
29,9,2022,"Périurbaine","Trafic","NOX",15.5
30,9,2022,"Périurbaine","Trafic","NOX",12.4
1,10,2022,"Périurbaine","Trafic","NOX",12.6
2,10,2022,"Périurbaine","Trafic","NOX",19
3,10,2022,"Périurbaine","Trafic","NOX",33.7
4,10,2022,"Périurbaine","Trafic","NOX",50
5,10,2022,"Périurbaine","Trafic","NOX",18.1
6,10,2022,"Périurbaine","Trafic","NOX",31.7
7,10,2022,"Périurbaine","Trafic","NOX",29.3
8,10,2022,"Périurbaine","Trafic","NOX",17.8
9,10,2022,"Périurbaine","Trafic","NOX",19.3
10,10,2022,"Périurbaine","Trafic","NOX",9.9
11,10,2022,"Périurbaine","Trafic","NOX",32
12,10,2022,"Périurbaine","Trafic","NOX",29.2
13,10,2022,"Périurbaine","Trafic","NOX",21.4
14,10,2022,"Périurbaine","Trafic","NOX",24.1
15,10,2022,"Périurbaine","Trafic","NOX",20
16,10,2022,"Périurbaine","Trafic","NOX",3.7
17,10,2022,"Périurbaine","Trafic","NOX",8.7
19,10,2022,"Périurbaine","Trafic","NOX",9.4
20,10,2022,"Périurbaine","Trafic","NOX",14.5
21,10,2022,"Périurbaine","Trafic","NOX",49.2
22,10,2022,"Périurbaine","Trafic","NOX",18.2
23,10,2022,"Périurbaine","Trafic","NOX",9.8
24,10,2022,"Périurbaine","Trafic","NOX",52.8
25,10,2022,"Périurbaine","Trafic","NOX",42.1
26,10,2022,"Périurbaine","Trafic","NOX",28.6
27,10,2022,"Périurbaine","Trafic","NOX",9.8
28,10,2022,"Périurbaine","Trafic","NOX",10.3
29,10,2022,"Périurbaine","Trafic","NOX",5.3
30,10,2022,"Périurbaine","Trafic","NOX",6.6
31,10,2022,"Périurbaine","Trafic","NOX",19.4
1,11,2022,"Périurbaine","Trafic","NOX",21.3
2,11,2022,"Périurbaine","Trafic","NOX",48.2
3,11,2022,"Périurbaine","Trafic","NOX",12.7
4,11,2022,"Périurbaine","Trafic","NOX",9.5
6,11,2022,"Périurbaine","Trafic","NOX",25.8
7,11,2022,"Périurbaine","Trafic","NOX",28.4
8,11,2022,"Périurbaine","Trafic","NOX",23.9
9,11,2022,"Périurbaine","Trafic","NOX",26.4
10,11,2022,"Périurbaine","Trafic","NOX",82
11,11,2022,"Périurbaine","Trafic","NOX",15.6
12,11,2022,"Périurbaine","Trafic","NOX",7.2
13,11,2022,"Périurbaine","Trafic","NOX",15.7
14,11,2022,"Périurbaine","Trafic","NOX",20.5
15,11,2022,"Périurbaine","Trafic","NOX",16
16,11,2022,"Périurbaine","Trafic","NOX",39.7
17,11,2022,"Périurbaine","Trafic","NOX",25.6
18,11,2022,"Périurbaine","Trafic","NOX",10.5
19,11,2022,"Périurbaine","Trafic","NOX",6.9
20,11,2022,"Périurbaine","Trafic","NOX",16.9
21,11,2022,"Périurbaine","Trafic","NOX",13.7
22,11,2022,"Périurbaine","Trafic","NOX",28.2
23,11,2022,"Périurbaine","Trafic","NOX",18.2
24,11,2022,"Périurbaine","Trafic","NOX",68.2
25,11,2022,"Périurbaine","Trafic","NOX",27
26,11,2022,"Périurbaine","Trafic","NOX",76.1
27,11,2022,"Périurbaine","Trafic","NOX",33.2
28,11,2022,"Périurbaine","Trafic","NOX",13.6
29,11,2022,"Périurbaine","Trafic","NOX",22.7
30,11,2022,"Périurbaine","Trafic","NOX",32
1,12,2022,"Périurbaine","Trafic","NOX",19.7
3,12,2022,"Périurbaine","Trafic","NOX",33.3
