"typologie","influence","niveau_vie_median","total_logements","moy_pourcentage_appartements","moy_locataires","evolution_population","population_totale","taux_activite"
"Urbaine","Fond",21630,33070,44,43.5,0.58,62945,72.7
"Périurbaine","Fond",27200,1153,12.2,19.5,1.05,2587,82.4
"Urbaine","Trafic",16830,48370,63.3,58,0.92,81545,63.4
"Urbaine","Fond",22210,16749,81.9,54,-0.05,23981,72.1
"Urbaine","Fond",20320,4482,42.6,45.7,-1,6008,74.3
"Urbaine","Fond",17380,74540,73.2,56.9,0.2,121616,62.9
"Périurbaine","Fond",21630,1227,15.9,36.4,2.85,2604,76.1
"Urbaine","Fond",22140,318683,83.8,65.8,1.19,514819,71.8
"Urbaine","Trafic",17380,74540,73.2,56.9,0.2,121616,62.9
"Urbaine","Fond",19670,184054,86.9,66.7,1.42,310240,67.1
"Périurbaine","Fond",26460,9366,50.7,38.3,0.78,17351,79.1
"Urbaine","Trafic",22140,318683,83.8,65.8,1.19,514819,71.8
"Rurale Nationale","Fond",NA,48,2.1,19.4,-1.74,63,75.6
"Périurbaine","Industrielle",21680,1983,19.2,33.7,2.3,4507,78.4
"Urbaine","Trafic",19670,184054,86.9,66.7,1.42,310240,67.1
"Urbaine","Fond",20940,24061,40.1,43.4,0.34,42505,72
"Urbaine","Fond",21770,2418,55.8,40.8,-0.82,2761,74.2
"Périurbaine","Trafic",25350,14478,68.4,53.1,2,27604,80.3
"Urbaine","Fond",18760,86696,69.5,57.4,0.14,151839,66.4
"Rurale Régionale","Fond",22500,856,9.9,22.1,-0.94,1622,74
"Périurbaine","Fond",22170,5925,28.1,31.2,-0.04,11630,74.4
"Périurbaine","Fond",20410,50239,72.2,42,0.76,29939,68.7
"Rurale Régionale","Fond",22770,56,0,9.8,-0.15,114,81.5
"Rurale Régionale","Fond",NA,62,1.5,18,-1.56,101,71.2
"Urbaine","Fond",21800,13843,53.4,54.4,0.37,22428,71.4
"Périurbaine","Fond",29940,4629,17.4,23.3,1.12,10472,75.6
"Rurale proche Zone Urbaine","Industrielle",24560,1037,13.9,23.5,0.48,2096,80
"Urbaine","Fond",18810,9910,65.3,49.6,-0.15,13266,68.9
"Urbaine","Fond",19070,30401,75.3,64,1.12,44399,64.8
"Urbaine","Trafic",18760,86696,69.5,57.4,0.14,151839,66.4
"Urbaine","Fond",21650,30811,49.7,52.3,0.77,51290,68.1
"Urbaine","Trafic",21630,33070,44,43.5,0.58,62945,72.7
"Urbaine","Industrielle",22140,318683,83.8,65.8,1.19,514819,71.8
"Rurale proche Zone Urbaine","Industrielle",23110,1917,21,31.3,0.95,4310,81.3
"Urbaine","Fond",18000,25704,62.5,59.2,2.31,46125,62.8
"Urbaine","Industrielle",19530,7263,49.4,48.7,0.88,12139,70.1
"Urbaine","Industrielle",20040,452,10.6,24.7,-0.96,736,71.4
"Urbaine","Trafic",19960,33474,81.9,51.8,0.8,45337,67.4
"Urbaine","Fond",19960,33474,81.9,51.8,0.8,45337,67.4
"Urbaine","Fond",22980,7263,59.4,51.8,0.45,12464,74.2
"Urbaine","Fond",20730,1180,23.3,40.5,-1.47,1957,77.2
"Urbaine","Trafic",19070,30401,75.3,64,1.12,44399,64.8
"Rurale Régionale","Fond",23310,3508,50.8,30.3,0.16,816,76.9
"Urbaine","Trafic",18000,25704,62.5,59.2,2.31,46125,62.8
"Périurbaine","Industrielle",22430,196,5.7,17.1,-1.33,347,75.3
