"code_insee_com","nom_poll","valeur_poll_avg","niveau_vie_median_2021","nb_logements_2022","Pourcentage_appartements_2022","pourcentage_locataires_dans_résidence_principale_2022","evolution_annuelle_moy_de_la_population_entre_2017_et_2023_en_pourcentage","population_municipale_2023","Taux_activite_tranche_15_64_en_2022","population","superficie_km2","densite","alti_med","RR_med","NBJRR1_med","NBJRR5_med","NBJRR10_med","Tmin_med","Tmax_med","Tens_vap_med","Force_vent_med","Insolation_med","Rayonnement_med"
12202,"NO",22,22210,16749,81.9,54,-0.05,23981,72.1,24207,11,2142,590,66.3,9,4,2,5.6,15.6,9.9,3.5,3672.5,13495
30007,"NO",15.45,18000,25704,62.5,59.2,2.31,46125,62.8,43892,23,1886,185,54.7,6,3,2,9.1,20.7,10.4,2.8,3865.5,13845
30061,"O3",51.6,21630,1227,15.9,36.4,2.85,2604,76.1,2516,11,224,79,53.8,5,3,2,8.3,21.2,10.7,3.3,4324.5,14620
30189,"NO",19.17,18760,86696,69.5,57.4,0.14,151839,66.4,148104,161,919,39,74.5,4,3,2,9.5,19.5,10.7,3.3,4324.5,14620
30315,"O3",59.7,24560,1037,13.9,23.5,0.48,2096,80,2104,13,167,25,52.4,5,3,2,8.7,19.8,5.6,3.9,4377,14986
31060,"O3",64.09,22770,56,0,9.8,-0.15,114,81.5,110,6,19,330,48.5,7,3,1,9.5,17.6,11.4,4.6,3605,15422
31066,"PM10",12.24,23110,1917,21,31.3,0.95,4310,81.3,4197,17,251,100,54.1,9,4,2,4.6,12.4,13,3,3239.5,12941.5
31069,"NO",14.7,25350,14478,68.4,53.1,2,27604,80.3,26466,17,1539,151,49.65,8,3,1,8.4,18.1,11.3,3.6,3378,12998.5
31344,"H2S",9.62,20040,452,10.6,24.7,-0.96,736,71.4,747,8,89,352,73,9,6,3,6.1,18.3,11.3,1.8,3884,14003
31381,"NO2",36.14,27200,1153,12.2,19.5,1.05,2587,82.4,2586,13,196,190,54.65,8,4,1,9.9,19.4,12.1,2.9,3982,14329.5
31483,"H2S",0.63,19530,7263,49.4,48.7,0.88,12139,70.1,11613,28,417,406,65.3,8,4,2,6.55,18.25,11.1,2.2,3373,13106.5
31555,"NO",30.01,22140,318683,83.8,65.8,1.19,514819,71.8,504078,118,4269,144,52.5,7,4,1,8.4,18.1,11.3,3.6,3378,12998.5
32013,"NO",21.18,21800,13843,53.4,54.4,0.37,22428,71.4,23041,73,314,158,56.5,7,3,2,7.8,18.9,11.65,2,3218,12922
32139,"O3",64.42,NA,62,1.5,18,-1.56,101,71.2,108,7,15,226,57.1,8,4,2,9.4,18.6,12,3.1,3522,13471
