code_insee_com,nom_com,RR_med,NBJRR5_med,NBJRR1_med,NBJRR10_med,Tmin_med,Tmax_med,Tens_vap_med,Force_vent_med,Insolation_med,Rayonnement_med,niveau_vie_median_2021
11001,Aigues-Vives,30.5,2.0,4.0,1.0,9.6,17.5,11.2,4.5,3965.0,14346.5,19590
11002,Airoux,33.35,3.0,5.5,1.0,12.8,24.0,11.4,4.6,3605.0,15422.0,22660
11003,Ajac,48.2,3.0,7.0,1.0,8.2,19.4,11.75,3.6,3579.0,14012.0,20540
11004,Alaigne,48.2,3.0,7.0,1.0,9.0,17.4,11.75,3.6,3579.0,14012.0,18170
11005,Alairac,29.0,1.0,4.0,1.0,9.2,17.9,11.4,4.7,3476.0,13610.0,22790
11006,Albas,34.0,2.0,5.0,1.0,9.9,19.8,11.5,3.5,3965.0,14346.5,N/A - secret statistique
11007,Albières,61.2,4.0,8.0,2.0,7.6,19.55,10.5,2.9,3389.0,14179.0,15540
11008,Alet-les-Bains,50.35,3.0,7.0,1.0,8.2,19.4,10.6,3.3,3579.0,14012.0,19430
11009,Alzonne,50.45,3.0,8.0,1.0,9.7,18.7,11.4,4.7,3476.0,13610.0,19640
11010,Antugnac,50.35,3.0,7.0,1.0,8.0,18.4,10.6,3.3,3579.0,14012.0,20310
11011,Aragon,53.0,3.0,7.0,2.0,9.7,18.7,11.4,4.7,3476.0,13610.0,22650
11012,Argeliers,32.15,2.0,5.0,1.0,10.2,20.5,11.0,3.9,3965.0,14346.5,20980
11013,Argens-Minervois,41.5,3.0,6.0,1.0,9.65,19.5,12.7,5.6,3965.0,14346.5,21000
11014,Armissan,31.8,2.0,5.0,1.0,10.1,18.6,12.1,5.3,NA,NA,22960
11015,Arques,61.2,4.0,8.0,2.0,7.6,19.55,10.5,2.9,3389.0,14179.0,14800
11016,Arquettes-en-Val,56.8,3.0,7.0,2.0,9.7,18.5,11.7,4.9,3389.0,14179.0,N/A - secret statistique
11017,Artigues,65.2,4.0,8.0,2.0,8.0,18.4,10.6,3.3,NA,NA,N/A - secret statistique
11018,Arzens,50.45,3.0,8.0,1.0,9.2,17.9,11.4,4.7,3476.0,13610.0,22370
